revision id, username, article size after edit (bytes),change in article size from edit (bytes), time of edit (seconds from first edit),time since last edit (seconds), URL to view diff, comments associated with edit,,,,,,,,,,,,,,,,,
1888543,Radical edward,16052,-22,46253777,114,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1888543&oldid=1858933,"Deleted unnecessary ""<"" and "">"" marks.",,,,,,,,,,,,,,,,,
1892193,Kowey,16074,22,46619238,365461,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1892193&oldid=1888543,ms:,,,,,,,,,,,,,,,,,
1892225,Radical edward,16278,204,46649990,30752,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1892225&oldid=1892193,,,,,,,,,,,,,,,,,,
1892237,Radical edward,16350,72,46650322,332,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1892237&oldid=1892225,Wikified the page.,,,,,,,,,,,,,,,,,
1892246,Radical edward,16378,28,46650419,97,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1892246&oldid=1892237,Wikified this section.,,,,,,,,,,,,,,,,,
1893098,Radical edward,16384,6,46650529,110,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1893098&oldid=1892246,Wikified section.,,,,,,,,,,,,,,,,,
1893288,Wikibot,16381,-3,46660347,9818,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1893288&oldid=1893098,robot interwiki standardization,,,,,,,,,,,,,,,,,
1908504,Jiang,16384,3,46663016,2669,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1908504&oldid=1893288,Reverted to last edit by Radical edward,,,,,,,,,,,,,,,,,
1908594,Pakaran,16248,-136,46801810,138794,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1908594&oldid=1908504,rm contraversal sentence - those who took part in sep11 did not suffer pain, they were killed faster than nerve conduction speed,,,,,,,,,,,,,,,,
1908666,Sverdrup,16229,-19,46802421,611,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1908666&oldid=1908594,Made some sentences in ==Trends== less personal.,,,,,,,,,,,,,,,,,
1940093,SaveThePoint,16262,33,46803056,635,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1940093&oldid=1908666,Linking Reston,,,,,,,,,,,,,,,,,
2340196,Timc,16263,1,47119528,316472,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2340196&oldid=1940093,Correct spelling of Kinshasa,,,,,,,,,,,,,,,,,
2595821,Wilke,16261,-2,52157286,5037758,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2595821&oldid=2340196,capitalize family,,,,,,,,,,,,,,,,,
2595837,DocWatson42,16262,1,54095308,1938022,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2595837&oldid=2595821,"Replaced "" -- "" with an em dash",,,,,,,,,,,,,,,,,
2595855,DocWatson42,16268,6,54095376,68,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2595855&oldid=2595837,"Replaced two instances of "" -- "" with em dashes",,,,,,,,,,,,,,,,,
2595869,DocWatson42,16268,0,54095520,144,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2595869&oldid=2595855,Removed a space from the Zaire link.,,,,,,,,,,,,,,,,,
2595898,DocWatson42,16271,3,54095623,103,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2595898&oldid=2595869,"Replaced "" – "" and "" -- "" with em dashes",,,,,,,,,,,,,,,,,
2595921,DocWatson42,16269,-2,54095846,223,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=2595921&oldid=2595898,"Corrected ""pulse.)"" to ""pulse).""",,,,,,,,,,,,,,,,,
3019623,DocWatson42,16281,12,54096043,197,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3019623&oldid=2595921,Added link to filovirus article,,,,,,,,,,,,,,,,,
3051214,Noldoaran,16299,18,56757236,2661193,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3051214&oldid=3019623,(ivory coast),,,,,,,,,,,,,,,,,
3051588,Ojigiri,16367,68,56940654,183418,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3051588&oldid=3051214,#NAME?,,,,,,,,,,,,,,,,,
3076030,Sverdrup,16541,174,56943437,2783,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3076030&oldid=3051588,add sentence to intro: ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ebola was first discovered in 1976, and since its discovery, different strands of Ebola has caused  epedemies with 50 to 90 percent mortality in Zaïre, Gabon and Uganda.,,,,,,,,,,,,,,,,,,,,,
3122472,Piolinfax,16561,20,57085555,142118,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3122472&oldid=3076030,pl:,,,,,,,,,,,,,,,,,
3559840,P.T. Aufrette,16465,-96,57396215,310660,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3559840&oldid=3122472,self-cite,,,,,,,,,,,,,,,,,
3663211,Jusjih,16486,21,60302949,2906734,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3663211&oldid=3559840,simple:,,,,,,,,,,,,,,,,,
3726068,Finlay McWalter,16630,144,60956980,654031,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3726068&oldid=3663211,#NAME?,,,,,,,,,,,,,,,,,
3726304,PxT,16632,2,61372613,415633,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3726304&oldid=3726068,,,,,,,,,,,,,,,,,,
3728417,Joseph Dwayne,16625,-7,61374231,1618,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3728417&oldid=3726304,format,,,,,,,,,,,,,,,,,
3728719,TonyW,16636,11,61387801,13570,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3728719&oldid=3728417,#NAME?, polio & smallpox,,,,,,,,,,,,,,,,
3734049,Seth Ilys,16635,-1,61389554,1753,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3734049&oldid=3728719,#NAME?,,,,,,,,,,,,,,,,,
3734345,Securiger,16860,225,61414265,24711,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3734345&oldid=3734049,#NAME?, +Alibekov,,,,,,,,,,,,,,,,
3736293,Korath,16861,1,61416546,2281,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3736293&oldid=3734345,#NAME?,,,,,,,,,,,,,,,,,
3736593,135.196.72.16,15863,-998,61433215,16669,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3736593&oldid=3736293,,,,,,,,,,,,,,,,,,
3740037,Itai,15877,14,61435175,1960,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3740037&oldid=3736593,,,,,,,,,,,,,,,,,,
3741857,Hob,15896,19,61468218,33043,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3741857&oldid=3740037,new Sudan outbreak - don't yet know the strain,,,,,,,,,,,,,,,,,
3741873,Cryptfiend64,16386,490,61481166,12948,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3741873&oldid=3741857,#NAME?,,,,,,,,,,,,,,,,,
3745000,Cryptfiend64,16372,-14,61481227,61,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3745000&oldid=3741873,=Ebola-Sudan=,,,,,,,,,,,,,,,,,
3747531,Aramgutang,16564,192,61498433,17206,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3747531&oldid=3745000,executive orders book,,,,,,,,,,,,,,,,,
3748515,Sverdrup,16577,13,61528119,29686,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3748515&oldid=3747531,#NAME?,,,,,,,,,,,,,,,,,
3759121,Oobopshark,16577,0,61545026,16907,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3759121&oldid=3748515,,,,,,,,,,,,,,,,,,
3760031,DO'Neil,16575,-2,61611116,66090,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3760031&oldid=3759121,,,,,,,,,,,,,,,,,,
3760152,Dukeofomnium,16574,-1,61619441,8325,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3760152&oldid=3760031,Necropsies on animals; autopsies are only performed on humans,,,,,,,,,,,,,,,,,
3776780,Sverdrup,16583,9,61620151,710,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3776780&oldid=3760152,#NAME?,,,,,,,,,,,,,,,,,
3777366,Ashraf2004,16515,-68,61769221,149070,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3777366&oldid=3776780,,,,,,,,,,,,,,,,,,
3777443,DO'Neil,16498,-17,61771433,2212,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3777443&oldid=3777366,,,,,,,,,,,,,,,,,,
3810198,211.28.145.65,16499,1,61771678,245,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3810198&oldid=3777443,/* Prevention */,,,,,,,,,,,,,,,,,
3814428,Sverdrup,16498,-1,61913925,142247,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3814428&oldid=3810198,Reverted edits by 211.28.145.65 to last version by DO'Neil,,,,,,,,,,,,,,,,,
3814441,64.165.230.104,16497,-1,61926887,12962,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3814441&oldid=3814428,/* Ebola-Sudan */,,,,,,,,,,,,,,,,,
3817474,64.165.230.104,16498,1,61926937,50,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3817474&oldid=3814441,/* Ebola-Sudan */,,,,,,,,,,,,,,,,,
3833286,Securiger,16476,-22,61939472,12535,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3833286&oldid=3817474,/* Ebola-Sudan */ clean up link,,,,,,,,,,,,,,,,,
3838941,207.126.235.151,12492,-3984,62007883,68411,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3838941&oldid=3833286,,,,,,,,,,,,,,,,,,
3839034,63.204.178.135,12506,14,62038182,30299,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3839034&oldid=3838941,es:,,,,,,,,,,,,,,,,,
3881682,63.204.178.135,12524,18,62038714,532,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3881682&oldid=3839034,de:,,,,,,,,,,,,,,,,,
3936754,211.27.17.153,12523,-1,62182340,143626,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3936754&oldid=3881682,/* Ebola-Ivory Coast */,,,,,,,,,,,,,,,,,
3944670,199.141.125.33,12531,8,62244810,62470,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3944670&oldid=3936754,/* Prevention */,,,,,,,,,,,,,,,,,
3944697,209.167.50.242,12526,-5,62272384,27574,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3944697&oldid=3944670,/* Ebola-Zaire */ Fix formatting,,,,,,,,,,,,,,,,,
3944745,209.167.50.242,12525,-1,62272494,110,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3944745&oldid=3944697,/* Ebola-Sudan */ Fix formatting,,,,,,,,,,,,,,,,,
3944897,Finlay McWalter,12531,6,62272673,179,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3944897&oldid=3944745,Reverted edits by 209.167.50.242 to last version by 199.141.125.33,,,,,,,,,,,,,,,,,
3945091,Aramgutang,16515,3984,62273380,707,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3945091&oldid=3944897,brought back stuff rtemoved by 207.126.235.151,,,,,,,,,,,,,,,,,
3945116,209.167.50.242,16510,-5,62274220,840,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3945116&oldid=3945091,/* Ebola-Zaire */ Fix formatting and ASCIIfy quotes.,,,,,,,,,,,,,,,,,
3950533,209.167.50.242,16502,-8,62274339,119,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3950533&oldid=3945116,/* Ebola-Sudan */ Fix formatting and remove non-ASCII quotes.,,,,,,,,,,,,,,,,,
3973697,203.109.249.137,16561,59,62311780,37441,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=3973697&oldid=3950533,there is no such country named Zaire,,,,,,,,,,,,,,,,,
4253712,66.96.28.244,16569,8,62541125,229345,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4253712&oldid=3973697,"/* Ebola-Zaire */ ""of the Congo""",,,,,,,,,,,,,,,,,
4254065,217.204.162.140,16575,6,63942233,1401108,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4254065&oldid=4253712,/* Prevention */,,,,,,,,,,,,,,,,,
4254119,OwenBlacker,16739,164,63944364,2131,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4254119&oldid=4254065,Wikified images; minor text edits,,,,,,,,,,,,,,,,,
4254130,OwenBlacker,16750,11,63944606,242,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4254130&oldid=4254119,Wikified images; minor text edits,,,,,,,,,,,,,,,,,
4254138,OwenBlacker,16744,-6,63944668,62,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4254138&oldid=4254130,Wikified images; minor text edits,,,,,,,,,,,,,,,,,
4357724,OwenBlacker,16760,16,63944695,27,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4357724&oldid=4254138,Wikified images; minor text edits,,,,,,,,,,,,,,,,,
4368488,212.235.125.170,16747,-13,64413991,469296,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4368488&oldid=4357724,,,,,,,,,,,,,,,,,,
4783203,Sverdrup,16770,23,64470492,56501,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4783203&oldid=4368488,/* References */ +[[Category:Virology]],,,,,,,,,,,,,,,,,
4815411,Kevin Rector,16783,13,66375873,1905381,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4815411&oldid=4783203,"disamb. ""Soviet""",,,,,,,,,,,,,,,,,
4882796,Avriette,16816,33,66514948,139075,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4882796&oldid=4815411,add to infectious diseases category,,,,,,,,,,,,,,,,,
4882852,69.139.161.74,16988,172,66865860,350912,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4882852&oldid=4882796,/* The Ebola virus */,,,,,,,,,,,,,,,,,
4882987,69.139.161.74,16987,-1,66866212,352,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4882987&oldid=4882852,/* Prevention */,,,,,,,,,,,,,,,,,
4883014,Ocon,17011,24,66867162,950,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4883014&oldid=4882987,/* The Ebola virus */,,,,,,,,,,,,,,,,,
4889337,Ocon,17029,18,66867361,199,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4889337&oldid=4883014,/* Ebola&ndash;Zaïre */,,,,,,,,,,,,,,,,,
4889353,Ocon,17031,2,66908826,41465,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4889353&oldid=4889337,/* Ebola&ndash;Reston */,,,,,,,,,,,,,,,,,
4889383,Ocon,17034,3,66908876,50,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4889383&oldid=4889353,/* Ebola&ndash;Sudan */,,,,,,,,,,,,,,,,,
4935881,Ocon,17036,2,66908989,113,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4935881&oldid=4889383,/* Economic Impact */,,,,,,,,,,,,,,,,,
4985046,Richard Taylor,18046,1010,67169953,260964,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=4985046&oldid=4935881,Captions. (dead links from old captions moved to img description page). Added a 'structure' section.,,,,,,,,,,,,,,,,,
5077161,Raph,18046,0,67434054,264101,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5077161&oldid=4985046,"spelling ""Category:Infectious diseases""",,,,,,,,,,,,,,,,,
5589779,Farside,18059,13,67828233,394179,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5589779&oldid=5077161,fi:,,,,,,,,,,,,,,,,,
5639483,Tooto,18055,-4,69930420,2102187,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5639483&oldid=5589779,as of month -> as of year,,,,,,,,,,,,,,,,,
5663553,Azhyd,18633,578,70124195,193775,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5663553&oldid=5639483,add taxobox,,,,,,,,,,,,,,,,,
5702015,24.12.154.201,18629,-4,70223806,99611,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5702015&oldid=5663553,minor edit - fixed several typographical errors.,,,,,,,,,,,,,,,,,
5797116,Guanabot,18665,36,70378548,154742,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5797116&oldid=5702015,Guanaco - robot: changing Windows-1252 characters to HTML entities,,,,,,,,,,,,,,,,,
5797157,165.21.154.14,27599,8934,70747888,369340,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=5797157&oldid=5797116,/* Treatment */,,,,,,,,,,,,,,,,,
6103975,165.21.154.16,25938,-1661,70748148,260,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=6103975&oldid=5797157,/* Treatment */,,,,,,,,,,,,,,,,,
6222485,Ahoerstemeier,25943,5,71838649,1090501,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=6222485&oldid=6103975,/* References */ fixing wikilinks - really useful to have all dates wikified?,,,,,,,,,,,,,,,,,
6432047,Wikiti,18670,-7273,72283892,445243,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=6432047&oldid=6222485,removed copyvio text,,,,,,,,,,,,,,,,,
6589007,Zoicon5,18687,17,73128003,844111,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=6589007&oldid=6432047,/* Bioterrorism */,,,,,,,,,,,,,,,,,
7333983,Jondel,18704,17,73678732,550729,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7333983&oldid=6589007,/* Ebola&ndash;Reston */,,,,,,,,,,,,,,,,,
7334061,JimD,18708,4,76035006,2356274,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7334061&oldid=7333983,Link to Kinshasa,,,,,,,,,,,,,,,,,
7388486,JimD,18704,-4,76035375,369,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7388486&oldid=7334061,Only link first reference to Kinshasa,,,,,,,,,,,,,,,,,
7388582,216.56.22.26,18716,12,76159584,124209,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7388582&oldid=7388486,/* Trends */,,,,,,,,,,,,,,,,,
7388776,216.56.22.26,18962,246,76159741,157,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7388776&oldid=7388582,/* Economic Impact */,,,,,,,,,,,,,,,,,
7388789,MysteryDog,18704,-258,76160034,293,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7388789&oldid=7388776,revert,,,,,,,,,,,,,,,,,
7388808,216.56.22.26,18717,13,76160052,18,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7388808&oldid=7388789,/* Trends */,,,,,,,,,,,,,,,,,
7389070,Ahoerstemeier,18704,-13,76160080,28,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7389070&oldid=7388808,Reverted edits by [[Special:Contributions/216.56.22.26|216.56.22.26]] to last version by MysteryDog,,,,,,,,,,,,,,,,,
7389084,216.56.22.26,18714,10,76160419,339,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7389084&oldid=7389070,/* Economic Impact */,,,,,,,,,,,,,,,,,
7617413,Ahoerstemeier,18704,-10,76160440,21,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7617413&oldid=7389084,Reverted edits by [[Special:Contributions/216.56.22.26|216.56.22.26]] to last version by Ahoerstemeier,,,,,,,,,,,,,,,,,
7647487,152.22.6.33,18709,5,76677501,517061,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7647487&oldid=7617413,,,,,,,,,,,,,,,,,,
7696877,Mike R,18729,20,76749140,71639,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7696877&oldid=7647487,fix headings,,,,,,,,,,,,,,,,,
7734629,131.229.176.106,18704,-25,76859520,110380,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=7734629&oldid=7696877,minor edit,,,,,,,,,,,,,,,,,
