revision id, username, article size after edit (bytes),change in article size from edit (bytes), time of edit (seconds from first edit),time since last edit (seconds), URL to view diff, comments associated with edit,,,,,,,,,,,
5645785,82.67.146.124,2778,15,60680240,1043619,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=5645785&oldid=5550397,,,,,,,,,,,,
6430899,H2O,2833,55,61053493,373253,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=6430899&oldid=5645785,cat,,,,,,,,,,,
6575676,Rhobite,2825,-8,64029935,2976442,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=6575676&oldid=6430899,pov,,,,,,,,,,,
6725564,Justplayin,3057,232,64544581,514646,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=6725564&oldid=6575676,Added outcome of patent dispute with Greenpeace,,,,,,,,,,,
6926792,Pit,3074,17,65051685,507104,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=6926792&oldid=6725564,+de:,,,,,,,,,,,
7100056,Wayland,3113,39,65736904,685219,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=7100056&oldid=6926792,Category:Multinational corporations,,,,,,,,,,,
7475869,Dominus,3123,10,66363505,626601,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=7475869&oldid=7100056,lk,,,,,,,,,,,
7475889,RadicalBender,3177,54,67270921,907416,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=7475889&oldid=7475869,#NAME?,,,,,,,,,,,
7528992,RadicalBender,3202,25,67270956,35,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=7528992&oldid=7475889,Cleanup,,,,,,,,,,,
7683690,Alren,3238,36,67405661,134705,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=7683690&oldid=7528992,Category:Saint Louis, Missouri,,,,,,,,,,
8021482,Taka,3254,16,67726303,320642,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8021482&oldid=7683690,#NAME?,,,,,,,,,,,
8056963,69.5.156.155,3263,9,68704677,978374,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8056963&oldid=8021482,,,,,,,,,,,,
8348120,64.60.153.235,3635,372,68794246,89569,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8348120&oldid=8056963,,,,,,,,,,,,
8351743,68.77.119.164,3542,-93,69590628,796382,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8351743&oldid=8348120,Removed biased opinion stated as fact.,,,,,,,,,,,
8379377,Tsavage,4663,1121,69599258,8630,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8379377&oldid=8351743,expand, copyedit,,,,,,,,,,
8379384,67.70.201.217,4125,-538,69678491,79233,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8379384&oldid=8379377,/* External link */,,,,,,,,,,,
8379393,67.70.201.217,0,-4125,69678510,19,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8379393&oldid=8379384,,,,,,,,,,,,
8705112,Flockmeal,4663,4663,69678525,15,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8705112&oldid=8379393,Reverted edits by [[Special:Contributions/67.70.201.217|67.70.201.217]] to last version by Tsavage,,,,,,,,,,,
8705183,Elchristador,7159,2496,70473287,794762,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8705183&oldid=8705112,Added info on Monsanto vs. Schmeiser. ( See Supreme Court of Canada judgments, available on web.),,,,,,,,,,
8705207,Elchristador,7188,29,70473575,288,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8705207&oldid=8705183,"rewording of sentences ""It had been established in Canada ... It ruled that it does.""",,,,,,,,,,,
8714533,Elchristador,7187,-1,70473677,102,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8714533&oldid=8705207,"wording change in Schmeiser paragraph ""would constitutes"" to ""would constitute""",,,,,,,,,,,
8729834,Tsavage,7286,99,70507723,34046,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=8729834&oldid=8714533,subheads, copyedit,,,,,,,,,,
9110076,65.95.152.145,7303,17,70541438,33715,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9110076&oldid=8729834,"changed to ""tolerates its presence and takes no action"" in penultimate sentence", Schmeiser paragraph,,,,,,,,,,
9111506,Elchristador,7563,260,71665561,1124123,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9111506&oldid=9110076,/* History */  Added info on Knowles' 2001 Nobel Prize,,,,,,,,,,,
9162324,Elchristador,8297,734,71669304,3743,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9162324&oldid=9111506,"/* Legal Issues */ Corrected some facts on ""Greenpeace vs. Monsanto""",,,,,,,,,,,
9232129,Elchristador,8368,71,71837622,168318,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9232129&oldid=9162324,/* Legal Issues */  collection of minor wording for readability/clarity, points of accuracy,,,,,,,,,,
9302838,Wk muriithi,8446,78,72068124,230502,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9302838&oldid=9232129,/* External links */ bribery charge,,,,,,,,,,,
9418921,Elchristador,8853,407,72280614,212490,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9418921&oldid=9302838,/* External links */  links to Schmeiser v. Monsanto court rulings,,,,,,,,,,,
9625493,Spangineer,8916,63,72702410,421796,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9625493&oldid=9418921,#NAME?, stock symbol,,,,,,,,,,
9675735,66.14.116.114,8915,-1,73386512,684102,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9675735&oldid=9625493,,,,,,,,,,,,
9777820,Boothy443,8956,41,73536401,149889,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=9777820&oldid=9675735,/* External links */,,,,,,,,,,,
10260090,Ekai,8984,28,73821725,285324,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10260090&oldid=9777820,/* External links */ +category,,,,,,,,,,,
10260273,Kenj0418,8866,-118,75185380,1363655,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10260273&oldid=10260090,Removed satan comment - quetionable NPOV,,,,,,,,,,,
10261249,Kenj0418,8902,36,75185737,357,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10261249&oldid=10260273,fixed previous edit, took out part of previous sentence,,,,,,,,,,
10261349,Kenj0418,9884,982,75187776,2039,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10261349&oldid=10261249,Removed comment about mergers, replaced with details, removed Ashcroft,,,,,,,,,
10261559,Kenj0418,9556,-328,75187985,209,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10261559&oldid=10261349,removed politics section, outdated and questionable POV,,,,,,,,,,
10301363,Kenj0418,9552,-4,75188404,419,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10301363&oldid=10261559,/* [[Spin-off|Spin-off's]] and [[Merger|Mergers]] */  unwikified term,,,,,,,,,,,
10304518,Kenj0418,9883,331,75282627,94223,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10304518&oldid=10301363,Created controversy section, added Monsatan back,,,,,,,,,,
10331406,Tsavage,9824,-59,75288406,5779,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10331406&oldid=10304518,copyedit, minor edits,,,,,,,,,,
10332196,Tsavage,9824,0,75361290,72884,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10332196&oldid=10331406,/* Legal Issues */  fix Wiki link,,,,,,,,,,,
10334459,Tsavage,10209,385,75362835,1545,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10334459&oldid=10332196,/* Legal Issues */  revisions,,,,,,,,,,,
10334540,Tsavage,10707,498,75367686,4851,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10334540&oldid=10334459,/* Legal Issues */  addition,,,,,,,,,,,
10463907,Tsavage,10727,20,75367876,190,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10463907&oldid=10334540,/* Legal Issues */  relocated paragraph,,,,,,,,,,,
10468873,EugeneZelenko,10728,1,75690655,322779,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10468873&oldid=10463907,/* History */ 2002 link,,,,,,,,,,,
10480961,Kenj0418,10738,10,75705345,14690,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10480961&oldid=10468873,/* Spin-offs and Mergers */,,,,,,,,,,,
10544680,Tsavage,10785,47,75730043,24698,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10544680&oldid=10480961,subheads,,,,,,,,,,,
10546547,Pdn,11320,535,76065906,335863,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10546547&oldid=10544680,/* History */ link ti Texas City explosion, mention of Queeny award set up 33 yrs later,,,,,,,,,,
10547237,Tsavage,11372,52,76070073,4167,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10547237&oldid=10546547,/* History */  edit,,,,,,,,,,,
10562172,Tsavage,11494,122,76071863,1790,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10562172&oldid=10547237,/* History */ addition, edits,,,,,,,,,,
10807134,Pdn,11561,67,76121135,49272,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10807134&oldid=10562172,noted delay in setting up award; fixed syntax,,,,,,,,,,,
10876155,Lyght,11608,47,76791471,670336,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=10876155&oldid=10807134,,,,,,,,,,,,
11367084,Evice,11653,45,76927028,135557,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11367084&oldid=10876155,,,,,,,,,,,,
11367125,67.70.156.93,11663,10,78209485,1282457,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11367125&oldid=11367084,/* History */,,,,,,,,,,,
11442373,67.70.156.93,11653,-10,78209555,70,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11442373&oldid=11367125,/* History */,,,,,,,,,,,
11641552,Tsavage,11724,71,78386786,177231,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11641552&oldid=11442373,/* Spin-offs and Mergers */ edit,,,,,,,,,,,
11641578,Randomgbear,12201,477,78860051,473265,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11641578&oldid=11641552,,,,,,,,,,,,
11641595,Randomgbear,12228,27,78860122,71,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11641595&oldid=11641578,/* A Disney Link */,,,,,,,,,,,
11814490,Randomgbear,12226,-2,78860155,33,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11814490&oldid=11641595,/* A Disney Link */,,,,,,,,,,,
11836981,Tsavage,12358,132,79264562,404407,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=11836981&oldid=11814490,added purchase of Seminis, now largest seed company,,,,,,,,,,
12398973,Mennonot,12362,4,79321401,56839,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=12398973&oldid=11836981,corrected Seminis Inc wiki,,,,,,,,,,,
12798402,67.184.188.171,12364,2,80456565,1135164,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=12798402&oldid=12398973,/* History */,,,,,,,,,,,
12873323,Kbdank71,12335,-29,81225597,769032,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=12873323&oldid=12798402,decategorized as per CfD,,,,,,,,,,,
13031251,Margosbot,12351,16,81360864,135267,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=13031251&oldid=12873323,+pl:,,,,,,,,,,,
13057308,199.74.69.78,12325,-26,81652398,291534,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=13057308&oldid=13031251,/* Legal Issues */,,,,,,,,,,,
14281676,Kenj0418,12366,41,81687456,35058,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14281676&oldid=13057308,/* Legal Issues */ Monsanto has nothing to do with the recording industry, previous phrasing was confusing,,,,,,,,,,
14866048,TitaniumDreads,12442,76,83920059,2232603,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14866048&oldid=14281676,/* External links */  Added Millions against monsanto,,,,,,,,,,,
14866254,TitaniumDreads,12772,330,84994950,1074891,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14866254&oldid=14866048,plan columbia info,,,,,,,,,,,
14874865,TitaniumDreads,12854,82,84995455,505,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14874865&oldid=14866254,info about endocrine disruptors,,,,,,,,,,,
14874901,67.150.44.90,13029,175,85015673,20218,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14874901&oldid=14874865,/* Spin-offs and Mergers */,,,,,,,,,,,
14875100,67.150.44.90,13029,0,85015736,63,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14875100&oldid=14874901,/* Spin-offs and Mergers */,,,,,,,,,,,
14876379,67.150.44.90,13179,150,85016051,315,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14876379&oldid=14875100,/* History */,,,,,,,,,,,
14876665,67.150.44.90,13260,81,85018166,2115,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14876665&oldid=14876379,/* History */,,,,,,,,,,,
14877222,67.150.44.90,13551,291,85018673,507,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14877222&oldid=14876665,/* A Controversial Company */,,,,,,,,,,,
14877453,67.150.44.90,14325,774,85019599,926,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14877453&oldid=14877222,,,,,,,,,,,,
14877625,67.150.44.90,14797,472,85019901,302,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14877625&oldid=14877453,,,,,,,,,,,,
14878384,67.150.44.90,14794,-3,85020154,253,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14878384&oldid=14877625,/* Board of Directors */,,,,,,,,,,,
14878528,67.150.121.103,14898,104,85021358,1204,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14878528&oldid=14878384,/* History */,,,,,,,,,,,
14878610,67.150.121.103,14946,48,85021535,177,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14878610&oldid=14878528,/* History */,,,,,,,,,,,
14879533,67.150.121.103,14177,-769,85021630,95,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14879533&oldid=14878610,/* Board of Directors */,,,,,,,,,,,
14978489,67.150.121.103,14251,74,85022987,1357,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14978489&oldid=14879533,/* Board of Directors */,,,,,,,,,,,
14978538,67.150.41.31,14246,-5,85193121,170134,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14978538&oldid=14978489,/* Board of Directors */,,,,,,,,,,,
14978667,67.150.41.31,14530,284,85193213,92,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14978667&oldid=14978538,/* History */,,,,,,,,,,,
14978996,67.150.41.31,14530,0,85193402,189,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14978996&oldid=14978667,/* History */,,,,,,,,,,,
14979082,67.150.41.31,14619,89,85193910,508,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=14979082&oldid=14978996,,,,,,,,,,,,
15984476,67.150.41.31,14622,3,85194042,132,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=15984476&oldid=14979082,/* As Defendant */,,,,,,,,,,,
17796423,131.252.82.60,14703,81,86779613,1585571,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=17796423&oldid=15984476,,,,,,,,,,,,
18174925,Fibonacci,14703,0,87321949,542336,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18174925&oldid=17796423,/* Monsanto and Latin America */ fixing link,,,,,,,,,,,
18386747,Ricardo monteiro,14702,-1,87593638,271689,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18386747&oldid=18174925,/* External links */ typo,,,,,,,,,,,
18641691,154.20.228.226,14706,4,87909055,315417,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18641691&oldid=18386747,/* As Defendant */,,,,,,,,,,,
18792317,Idleguy,14772,66,88094496,185441,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18792317&oldid=18641691,/* A Controversial Company */  [[corporate terrorism]] added,,,,,,,,,,,
18862103,Pdn,14787,15,88175213,80717,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18862103&oldid=18792317,/* History */,,,,,,,,,,,
18872266,Idleguy,15345,558,88188787,13574,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18872266&oldid=18862103,Issues in India,,,,,,,,,,,
18933496,Shaddack,15504,159,88260607,71820,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18933496&oldid=18872266,/* As Defendant */,,,,,,,,,,,
18933675,Shaddack,15524,20,88260878,271,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18933675&oldid=18933496,/* As Plaintiff */,,,,,,,,,,,
18933723,Shaddack,15528,4,88260941,63,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18933723&oldid=18933675,/* As Plaintiff */,,,,,,,,,,,
18934234,Shaddack,15522,-6,88261660,719,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=18934234&oldid=18933723,/* A Disney Link */,,,,,,,,,,,
19444154,Barkeep49,15546,24,88908834,647174,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=19444154&oldid=18934234,/* Board of Directors */ disambiguation link repair ([[Wikipedia:Disambiguation pages with links|You can help!]]),,,,,,,,,,,
19517837,Kenj0418,15556,10,89006162,97328,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=19517837&oldid=19444154,NPOV - see talk page for details,,,,,,,,,,,
19947343,66.183.125.209,15565,9,89542475,536313,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=19947343&oldid=19517837,,,,,,,,,,,,
19947431,DavidH,15556,-9,89542597,122,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=19947431&oldid=19947343,rv,,,,,,,,,,,
20132456,SCEhardt,15571,15,89788128,245531,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=20132456&oldid=19947431,/* As Plaintiff */ disambig link,,,,,,,,,,,
20410662,72.25.76.17,15572,1,90117603,329475,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=20410662&oldid=20132456,/* Issues in India */ typo,,,,,,,,,,,
20693327,Rd232,15743,171,90458523,340920,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=20693327&oldid=20410662,,,,,,,,,,,,
20998604,Dottoreso,14804,-939,90811992,353469,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=20998604&oldid=20693327,removed BoD section as inflammatory.  (see talk),,,,,,,,,,,
21338126,Raelx,14728,-76,91200636,388644,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21338126&oldid=20998604,removed claim that glyphosate is and endocrine disruptor. I can no acidemic sources to back this claim.,,,,,,,,,,,
21507713,80.216.125.193,14753,25,91422624,221988,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21507713&oldid=21338126,/* As Plaintiff */,,,,,,,,,,,
21787509,Pearle,14769,16,91732110,309486,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21787509&oldid=21507713,Changing {{cleanup}} to {{cleanup-date|August 2005}},,,,,,,,,,,
21845595,LordBleen,14776,7,91794308,62198,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21845595&oldid=21787509,/* A Disney Link */ Added link to Adventrue Thru Inner Space,,,,,,,,,,,
21852981,Tsavage,14473,-303,91802533,8225,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21852981&oldid=21845595,removed NPOV tag and material cited for NPOV tagging (in Discussion),,,,,,,,,,,
21891654,Tsavage,14558,85,91851401,48868,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21891654&oldid=21852981,/* History */ added to Texas City Disaster,,,,,,,,,,,
21892108,Tsavage,14686,128,91851885,484,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=21892108&oldid=21891654,/* History */ added Mobay partnership with Bayer,,,,,,,,,,,
22195859,83.92.182.5,14816,130,92209788,357903,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=22195859&oldid=21892108,/* A Controversial Company */,,,,,,,,,,,
22346853,Kenj0418,14686,-130,92380995,171207,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=22346853&oldid=22195859,rv non-encyclopedic edit back to previous version by TSavage.,,,,,,,,,,,
23351007,Kurieeto,15149,463,93669557,1288562,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=23351007&oldid=22346853,#NAME?,,,,,,,,,,,
23394065,Kurieeto,15268,119,93736557,67000,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=23394065&oldid=23351007,Attempted improved content organization,,,,,,,,,,,
24211422,68.101.240.254,15288,20,94657421,920864,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=24211422&oldid=23394065,/* Sponsorships */,,,,,,,,,,,
24867300,NTBot,15332,44,95348198,690777,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=24867300&oldid=24211422,robot  Adding: pt, zh,,,,,,,,,,
25001421,Larsinio,15453,121,95493728,145530,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=25001421&oldid=24867300,/* Corporate history */,,,,,,,,,,,
25042463,Whobot,15475,22,95534772,41044,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=25042463&oldid=25001421,Recat per [[Wikipedia:Categories_for_deletion/Log/2005_September_27|WP:CFD]] Category:Companies_traded_on_NYSE to Category:Companies_traded_on_the_New_York_Stock_Exchange,,,,,,,,,,,
26650471,80.223.185.85,15491,16,97226723,1691951,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=26650471&oldid=25042463,fi:,,,,,,,,,,,
26875344,220.104.81.230,15514,23,97454099,227376,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=26875344&oldid=26650471,#NAME?,,,,,,,,,,,
27153226,64.178.96.56,15596,82,97705820,251721,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=27153226&oldid=26875344,/* External links */,,,,,,,,,,,
27674973,65.94.117.253,15726,130,98191732,485912,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=27674973&oldid=27153226,/* Board of Directors */,,,,,,,,,,,
28273205,CanisRufus,15738,12,98724613,532881,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28273205&oldid=27674973,dab crop,,,,,,,,,,,
28362675,207.106.89.45,15741,3,98804916,80303,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28362675&oldid=28273205,/* Corporate history */,,,,,,,,,,,
28414984,Tsavage,15711,-30,98854186,49270,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28414984&oldid=28362675,removed clean-up tag form Aug-05, see Talk,,,,,,,,,,
28459467,24.71.223.140,16647,936,98882142,27956,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28459467&oldid=28414984,,,,,,,,,,,,
28459557,24.71.223.140,16649,2,98882205,63,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28459557&oldid=28459467,/* Corporate history */,,,,,,,,,,,
28459699,24.71.223.140,16650,1,98882296,91,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28459699&oldid=28459557,/* Corporate history */,,,,,,,,,,,
28468635,Kaiserb,16664,14,98888632,6336,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28468635&oldid=28459699,[[Wikipedia:Tools/Navigation_popups|Popups]]-assisted disambiguation from [[America]] to [[United States]],,,,,,,,,,,
28530345,Tsavage,16910,246,98951118,62486,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28530345&oldid=28468635,moved, rewrote Posilac-Fox News,,,,,,,,,,
28532778,Tsavage,17008,98,98953225,2107,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28532778&oldid=28530345,/* Relate legal actions */ edit,,,,,,,,,,,
28532846,Tsavage,17009,1,98953290,65,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28532846&oldid=28532778,/* Relate legal actions */ edit,,,,,,,,,,,
28532925,Tsavage,17029,20,98953356,66,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28532925&oldid=28532846,/* Related legal actions */ edot,,,,,,,,,,,
28536361,Tsavage,15503,-1526,98956256,2900,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28536361&oldid=28532925,edits, copyedits, rewrite of Monsanto vs Schmeiser (see Talk),,,,,,,,,
28537296,Tsavage,15541,38,98957006,750,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28537296&oldid=28536361,/* As Plaintiff */,,,,,,,,,,,
28537443,Tsavage,15569,28,98957137,131,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=28537443&oldid=28537296,/* As Plaintiff */,,,,,,,,,,,
